number,value,state,params_act,params_alpha,params_attn_dropout,params_branch_norm,params_dropout,params_heads,params_hidden_channels,params_hop_scalar_profile,params_lr,params_max_hops,params_norm,params_num_edges,params_num_layers,params_root_scalar_init,params_weight_decay,user_attrs_best_epoch,user_attrs_final_test_metric,user_attrs_run_dir
0,0.656,COMPLETE,elu,1.0,0.65,none,0.35,2,96,low_high_hops,0.003,3,none,75000,2,0.95,0.002,75,0.619,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
1,0.764,COMPLETE,relu,1.0,0.4,layernorm,0.7,8,96,front_loaded,0.005,3,layernorm,10000,2,0.9,0.002,98,0.767,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_001\seed_1\run_0
2,0.76,COMPLETE,relu,1.0,0.4,none,0.35,1,96,one_hop_strong,0.01,3,layernorm,20000,2,0.95,0.002,8,0.703,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_002\seed_2\run_0
3,0.686,COMPLETE,elu,1.0,0.65,none,0.6,2,96,low_high_hops,0.01,2,layernorm,10000,2,0.95,0.0005,11,0.687,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_003\seed_3\run_0
4,0.768,COMPLETE,elu,1.0,0.25,layernorm,0.5,2,96,balanced,0.005,2,none,40000,2,0.9,0.005,14,0.754,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_004\seed_4\run_0
5,0.61,COMPLETE,elu,1.0,0.55,none,0.6,2,32,front_loaded,0.005,3,none,10000,2,0.9,0.005,211,0.584,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_005\seed_5\run_0
6,0.704,COMPLETE,elu,1.0,0.4,none,0.5,4,32,balanced,0.003,2,none,40000,2,0.9,0.0005,297,0.721,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_006\seed_6\run_0
7,0.768,COMPLETE,elu,1.0,0.4,layernorm,0.5,8,32,one_hop_strong,0.005,3,none,10000,2,0.9,0.002,17,0.756,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_007\seed_7\run_0
8,0.652,COMPLETE,relu,1.0,0.4,layernorm,0.5,4,64,low_high_hops,0.01,2,layernorm,75000,2,0.9,0.005,22,0.617,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_008\seed_8\run_0
9,0.766,COMPLETE,elu,1.0,0.25,layernorm,0.7,8,96,low_high_hops,0.005,3,layernorm,40000,2,0.95,0.001,25,0.784,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_009\seed_9\run_0
10,0.776,COMPLETE,relu,1.0,0.25,layernorm,0.5,1,64,balanced,0.005,2,none,40000,2,0.9,0.005,42,0.776,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_010\seed_10\run_0
11,0.77,COMPLETE,relu,1.0,0.25,layernorm,0.5,1,64,balanced,0.005,2,none,40000,2,0.9,0.005,11,0.774,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_011\seed_11\run_0
12,0.766,COMPLETE,relu,1.0,0.25,layernorm,0.5,1,64,balanced,0.005,2,none,40000,2,0.9,0.005,65,0.786,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_012\seed_12\run_0
13,0.77,COMPLETE,relu,1.0,0.25,layernorm,0.5,1,64,balanced,0.005,2,none,40000,2,0.9,0.005,16,0.783,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_013\seed_13\run_0
14,0.772,COMPLETE,relu,1.0,0.25,layernorm,0.5,1,64,balanced,0.005,2,none,20000,2,0.9,0.001,26,0.773,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_014\seed_14\run_0
15,0.758,COMPLETE,relu,1.0,0.55,layernorm,0.5,1,64,balanced,0.003,2,none,20000,2,0.9,0.001,17,0.76,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_015\seed_15\run_0
16,0.786,COMPLETE,relu,1.0,0.25,layernorm,0.7,1,64,balanced,0.005,2,none,20000,2,0.9,0.001,55,0.786,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_016\seed_16\run_0
17,0.778,COMPLETE,relu,1.0,0.25,layernorm,0.7,1,64,balanced,0.005,2,none,20000,2,0.9,0.001,30,0.781,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_017\seed_17\run_0
